Table Name,Column,Type,Description,Example
profiles,id,uuid,Links to auth.users,550e8400-e29b-41d4-a716-446655440000
profiles,email,text,User email address,john.doe@clp.com.hk
profiles,full_name,text,User's full name,John Doe
profiles,role,user_role,"admin, operator, viewer",operator
profiles,department,text,Department name,Power Quality
profiles,created_at,timestamptz,Profile creation time,2025-01-15 08:30:00+00
profiles,updated_at,timestamptz,Last update time,2025-12-19 10:45:00+00
substations,id,uuid,Unique identifier,7a3f2c1d-8e9b-4f5a-b6c7-d8e9f0a1b2c3
substations,name,text,Substation name,Ap Lei Chau Substation A
substations,code,text,"Substation code (e.g., APA, APB, CHS)",APA
substations,voltage_level,text,"e.g., ""132kV"", ""11kV"", ""400kV"", ""380V""",132kV
substations,latitude,decimal(10,6),GPS latitude,22.240000
substations,longitude,decimal(10,6),GPS longitude,114.150000
substations,region,text,"WE=West, NR=North, CN=Central",WE
substations,status,substation_status,"operational, maintenance, offline",operational
substations,created_at,timestamptz,Creation timestamp,2024-11-03 12:00:00+00
pq_meters,id,uuid,Unique identifier,a1b2c3d4-e5f6-7890-abcd-ef1234567890
pq_meters,meter_id,text,Meter serial number,PQM-APA-001
pq_meters,substation_id,uuid,Associated substation,7a3f2c1d-8e9b-4f5a-b6c7-d8e9f0a1b2c3
pq_meters,location,text,Location within substation,11kV Switchboard Room
pq_meters,status,meter_status,"active, abnormal, inactive",active
pq_meters,last_communication,timestamptz,Last successful comm,2025-12-19 03:00:00+00
pq_meters,firmware_version,text,Firmware version,v2.5.3
pq_meters,installed_date,timestamptz,Installation date,2023-06-15 09:00:00+00
pq_meters,created_at,timestamptz,Creation timestamp,2024-11-03 12:00:00+00
pq_meters,meter_type,text,Type of meter,Fluke 1760
pq_meters,voltage_level,text,Operating voltage level,132kV
pq_meters,site_id,text,Site identifier,SITE-APA-01
pq_meters,circuit_id,text,Circuit reference,CKT-132-01
pq_meters,region,text,Geographic region,WE
pq_meters,oc,text,Operating center,West OC
pq_meters,brand,text,Meter manufacturer,Fluke
pq_meters,model,text,Meter model number,1760
pq_meters,nominal_voltage,numeric,Nominal voltage rating,132.00
pq_meters,ct_type,text,Current transformer type,800/5A
pq_meters,asset_number,text,Asset tracking number,ASSET-PQM-2023-001
pq_meters,serial_number,text,Serial number,SN-1760-2023-001
pq_meters,ip_address,text,Network IP address,10.20.30.45
pq_meters,framework_version,text,Framework version,v1.2.0
pq_meters,active,boolean,Active status flag,true
pq_events,id,uuid,Unique identifier,e1f2a3b4-c5d6-7890-efab-cd1234567890
pq_events,event_type,event_type,"voltage_dip, voltage_swell, harmonic, etc.",voltage_dip
pq_events,substation_id,uuid,Affected substation,7a3f2c1d-8e9b-4f5a-b6c7-d8e9f0a1b2c3
pq_events,meter_id,uuid,Recording meter,a1b2c3d4-e5f6-7890-abcd-ef1234567890
pq_events,timestamp,timestamptz,Event occurrence time,2025-12-18 14:32:15+00
pq_events,duration_ms,integer,Event duration in milliseconds,350
pq_events,magnitude,decimal(10,3),"Event magnitude (voltage %, THD%)",72.5
pq_events,severity,severity_level,"critical, high, medium, low",high
pq_events,status,event_status,"new, acknowledged, investigating, resolved, false",acknowledged
pq_events,is_mother_event,boolean,Is this a mother event?,true
pq_events,parent_event_id,uuid,Links to mother event,null (for mother) / e1f2a3b4-... (for child)
pq_events,affected_phases,text[],Affected phases,"{A,B,C}"
pq_events,waveform_data,jsonb,Waveform data for visualization,"{""voltage"": [...], ""current"": [...]}"
pq_events,created_at,timestamptz,Creation timestamp,2025-12-18 14:32:20+00
pq_events,resolved_at,timestamptz,Resolution timestamp,2025-12-18 16:45:00+00
pq_events,voltage_level,text,"Voltage level (400kV, 132kV, 11kV, 380V)",132kV
pq_events,circuit_id,text,Circuit identifier,H2
pq_events,customer_count,integer,Number of affected customers,56
pq_events,remaining_voltage,decimal(5,2),Remaining voltage percentage,72.50
pq_events,validated_by_adms,boolean,ADMS validation flag,true
pq_events,is_special_event,boolean,Special event (exclude from SARFI),false
