#,Section,RFP Section,Modules,Purpose,Functions,Items,Detail,Remark / Questions
1,1.1.1,"3.3.1i, 3.3.1v",Event Management,"As a user, I need to view the event list with summary (e.g. category, location, time, status) before drill-in for detail. 
It should have filters to quickly locate the event.",Logging - Event List (Table),Category,"Voltage Dip & Swell Events
Harmonic Events
Flicker Events
Transient Events
Power Factor Events",
,1.1.2,3.3.1ii,Event Management,"As a user, I need to search for incidents using multiple criteria so that I can quickly locate specific power quality events.",Logging - Event List (Table),Searching and filters,"System allows users to search incidents based on various criteria including incident timestamp, location, voltage level, duration, affected customers, IDR number, remaining voltage (%), circuit, and other relevant parameters.",Which data to search and filter
,1.2.1,"3.3.1ii, 3.3.1iv",Event Management,"As a user, I need to view the basic information of the event so that I could understand the background.",Logging -Event detail,General Info,"Timestamp, Duration, Remaining Voltage (%), affected customers",Affected customer summary or detail?
,1.2.2,3.3.1iv,Event Management,"As a user, I need to view the power detail information of the event so that I could understand the background.",Logging -Event detail,Power Info,"Meter ID, Location, Voltage Level, ACB tripping",
,1.2.3,3.3.1vii,Event Management,"As a user, I need to investigate the waveform with zooming, scaling, filtering, harmonic analysis, and time-domain analysis, so that I could analyse the reasons and consequence.",Logging -Event detail,Waveform Display,"Zoom, Filter, Harmonic Analysis, and time-domain analysis.",
,1.2.4,3.3.1iii,Event Management,"As a user, I need to know if the event is validated by ADMS, so that I could follow the true positive events only.",Logging -Event detail,Event validation,Validated by ADMS,
,1.3.1,3.5.1,Event Management,"As a user, I need to manage primary and related events to reflect true fault lineage so that I could view the event as a whole.",Event grouping,Mother Event,System identifies and lists the source event that triggers grouped dips; supports grouped views.,
,1.3.2,3.5.2,Event Management,"As a user, I need full control over event sets so that to better manage the events.",Event grouping,Event Operation,Create/Group/Ungroup/Merge/Delete in event list,
,1.4,3.5.3,Event Management,"As an admin, I need to reduce noise so only actionable alerts appear.",False handling,Configurable Filtering Criteria,Define thresholds/rules to filter false events; criteria to be finalized with users.,What is the different from ADMS validation?
2,2.1,"3.4.1, 3.10.5",Impact Analysis,"As a user, the system needs to map Customer (CA no.) with transformers in substation so that I know the customer affected for each event.",Customer/Transformer Mapping,Auto-map relationships,Map meter ID with CA number to find affected customers,Are 2 RFP sections are the same?
,2.2,"3.3.1ii, 3.4.2",Impact Analysis,"As an user, I want to correlate dips with system faults so that ",Voltage Dip ? System Fault Mapping,Incident Detail Report (IDR) linkage,"Integrate IDR info (number, equipment, location, circuit, voltage) and establish mapping to dip events.",
,2.3,3.4.3,Impact Analysis,"As a user, I need to identify transformers with significant load drops due to voltage dips by analyzing DTx loading data from SharePoint, so that I can identify equipment tripping caused by voltage dips.",Load Rejection (Optional),DTx loading comparison,Identify transformers with significant load drops using configurable formula around dip time; compare SCADA code to meter events.,
,2.4,3.4.4,Impact Analysis,"As a user, I need AI-driven loading waveform pattern recognition to filter out false positive load rejection cases, so that I can accurately identify actual equipment tripping events.",AI Pattern Recognition (Optional),Historical patterns,Use AI on historical DTx loading waveforms to filter repetitive operational patterns.,
,2.5,3.4.5,Impact Analysis,"As a user, I need to identify tripping locations by monitoring smart meter power-up and power-down events within buildings during voltage dips, so that I can pinpoint affected locations accurately.",Smart Meter Event (Optional),Power up/down threshold,Integrate SMP/ERP Enlight to count smart meter power events post-dip; configurable % threshold flags tripping.,
3,3.1.1,3.3.1viii,Analysis,"As a user, I need to view power quality summaries and select specific PQ parameters in table format, so that I can conduct in-depth studies and analysis.",PQ Summary Table,Selectable parameters,Provide table view with user-selected PQ parameters for deep analysis.,
,3.1.2,3.8.2,Analysis,,PQ Summary Table,PQ services logging,"Show the PQ services logging which impacted by selected event, and allow engineers to update the records.",
,3.1.3,3.8.3,Analysis,"As a user, I need to benchmark voltage dip events against standards like ITIC, SEMI F47, and IEC61000-11/34 by voltage level, so that I can determine event compliance and performance.",PQ Summary Table,Voltage Dip Benchmarking,Comparing each voltage dip events against established standards,
,3.2.1,3.11.1,Analysis,"As a user, I need to calculate SARFI-10 to SARFI-90, so that I can measure power quality performance indices.",SARFI,Dip counts per SARFI,Calculate and display no. of dip events counted in SARFI computation from SARFI-10 to SARFI-90,
,3.2.2,3.11.1,Analysis,"As a user, I need to configure parameters (regions, OC, districts, voltage level, weight factor updates), so that I can measure power quality performance correctly.",SARFI,Configurable Weight Factors,Configure parameters and update frequency for SARFI calculation.,
